mobile ever almost,You made awesome like Super solid no one defeat it premium sleek design and super beautiful mobile great performance crystal Sharp screen and best stunning camera both and super beautiful price every easily everyone Thanks and lovely I s far behind in all and
Value for money,I brought this phone for my daughter she is happy with speed and easy to use os Front and back camera are also good Picture quality is very sharp and clear This is my third purchase of From I am s and satisfied Last June I two for my and they are also happy in normal daily use This one is perfect for daily usage Battery is very fast and last for to Full paisa phone
Good one,and mobile
Good Phone,Good phone with superb speed snapdragon processor and ram its great
Good phone with average battery backup and average camera quality,Premium look Good Display Flawless performance specially with gaming no minimal heating Very fast Battery Backup not good Average to poor camera quality Fingerprint sensor is not fast
Battery getting low,Nice mobile but battery is getting low
Good Phone,this phone is very good
Not worth for money,Not happy with Battery life and camera quality is also not great Company does not bother about providing the Further not providing is worse even that this phone also does not support function in your Car Overall not satisfactory could be better option
phone for everyone,This is a phone
Nice one good,product
Best phone in this range till now,It s far better than all out there Even better than mi note in all except battery I t think of any other phone in this range that good
Nice add comfortable set,Perfect so smooth set
As,Phone got too hot during first charging because of quick charge But after I the update from it s stable now felling little hot after all it s quick charge battery and screen display is amazing Phone t heat a lot during hard thanks to the update And look its like a flagship phone
It s a very nice phone,According to his price the phone is very nice All phone which price is between to this phone is great
,excellent product at best
Low cam quality,Little disappointing about camera rate from my side
Nice Phone,I have on st cam clarity is also good even at time people just make us negative by saying negative battery back up is also good m happy with this mob
Phone is nice at unbeatable price,Got this phone at a good price Unfortunately the are not working on this phone in the original condition Did the upgrade then everything is
Awesome,Camera performance and built quality is outstanding This is the best phone in this price It love it
mobile,Ye mobile par tha par ne paisa bar me mere account se
Nice phone,Good looking
Excellent phone,Phone is good but little fingerprint sensor not so affective
Nice mobile,Good product
Excellent phone,excellent phone in the price range only drawback in android in no data security every needs almost full access to phone and its data
Low performance phone,Battery discharge very fast Along with ongoing phone call t allow user to open any like what s up gallery phone book nothing
BEST BUDGET IF U R THINKING,To buy it then go for it
SUPERB MOBILE,VALUE FOR MONEY
Very bad mobile,No inbuilt audio jack External audio have to carry with your phone Very ridiculous No auto search in Remote control Infra Red port is not working external Remote Control No easy menu bar No Overall the mobile is not good to purchase
Disappointed,Seriously disappointed Not from but the phone It on sleeping by itself even if I have time set for
Very satisfactory,Much better than note when coming to camera and
Nice phone,Everything is good but is worst
Disappointed with the product,I thought it will be the best mobile in this price segment a best competitor with MI Note but my thinking got wrong A sound is coming whenever to make a call to any mobile to their end which is found an inbuilt problem in the mobile In one sentence I will never recommend this mobile against this price segment Now I have to go to service center to overcome this issue which is a burden I think Finger sensor is also not good
best phone in this price range,Go for it best camera wow display average battery backup fast charging support superb experience
Good product,Nice product but camera is not up to mark
Good to go for this cost,Good to go for this cost
is worth of price,It s a good mobile worth of its price Only camera function to be
Good product,Good quality
Problem But,Battery life no card slot audio jack weird but new overall average
Good product,Camera is very clear overall performance is good
Best mobile in this,Camera is very good and look is also very good
Excellent phone,outstanding rose gold touch screen is amazing display and camera absolutely fabulous value for money one thing there is no RADIO feature should update by
not wark,Sin not wark
Nice,Very good product
Good good good,
As per budget good,Lite heating
Very best for,I this
Best product in this price,But battery backup is not good Preform is good
Wonderful E Company,I think it s a better Company other than according to me Thanks a lot
